,accuracy,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numReviews,numRooms,price,rating,roomID,value,bath,private bath,shared bath,Studio,bedroom,Entire home/apt,Private room,Shared room
0,1.0,0.875,0.875,1.0,0.925,0.0,0.3292865409882211,1.0,0.3770349007546656,0.14285714285714285,0.0,0.2222222222222222,0.35844155844155845,0.125,0.23802612481857766,0.875,0.16060532478993295,0.875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.875,0.875,0.875,1.0,0.8875,0.0,0.8470862088231002,0.875,0.6853993312056446,0.14285714285714285,0.125,0.6666666666666666,0.18181818181818182,0.25,0.2177068214804064,0.875,0.5642683840734087,0.875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1.0,1.0,1.0,1.0,0.9750000000000001,1.0,0.2766510792728809,1.0,0.4614472003853507,0.14285714285714285,0.0,0.2222222222222222,0.22857142857142856,0.125,0.21625544267053703,1.0,0.1437533147673636,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,1.0,1.0,1.0,1.0,0.9625000000000001,1.0,0.13089679599875126,0.875,0.7951986454884263,0.14285714285714285,0.0,0.4444444444444444,0.2857142857142857,0.125,0.20319303338171263,1.0,0.38201649120625353,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,1.0,1.0,1.0,1.0,0.9625000000000001,0.0,0.37074989092695887,1.0,0.15745550164422184,0.14285714285714285,0.0,0.4444444444444444,0.12987012987012986,0.125,0.1741654571843251,1.0,0.21411070423057582,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0.875,1.0,0.875,1.0,0.875,0.0,0.531701202239617,1.0,0.43439597335202507,0.14285714285714285,0.125,0.4444444444444444,0.11168831168831168,0.125,0.16690856313497823,0.875,0.6855210088891944,0.875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,1.0,1.0,1.0,0.875,0.9125000000000001,0.0,0.8753678862091192,0.875,0.7728490629609723,0.14285714285714285,0.125,0.4444444444444444,0.11168831168831168,0.125,0.158200290275762,0.875,0.8455723216516078,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,1.0,1.0,0.875,1.0,0.9500000000000002,0.0,0.2644063746813572,1.0,0.3976432788216471,0.14285714285714285,0.0,0.2222222222222222,0.24675324675324672,0.125,0.13062409288824384,1.0,0.041514686423825525,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,1.0,1.0,1.0,1.0,0.9875,1.0,0.772640186113108,1.0,0.26721526616449864,0.2857142857142857,0.25,0.6666666666666666,0.08311688311688312,0.375,0.12191582002902758,1.0,0.8828473347143274,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,1.0,1.0,0.875,1.0,0.9000000000000001,0.0,0.6152426345133222,0.875,0.7357876200027249,0.14285714285714285,0.0,0.2222222222222222,0.06493506493506493,0.0,0.10159651669085631,0.875,0.7454678417114726,0.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
