accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,bath,bed,bedroom,9,9,10,94,false,40.73418881879565,10,-74.00213173055832,1,1,2,,141,1,174,4.5,,3689140,,Entire home/apt,9
9,bath,beds,bedrooms,9,9,10,91,false,40.800086790479654,9,-73.96040268550023,1,2,6,,73,2,160,4.5,,12940401,,Entire home/apt,9
10,bath,bed,bedroom,10,10,10,98,true,40.727490146739335,10,-73.99070873780394,1,1,2,183,91,1,159,5,,3302921,,Entire home/apt,10
10,bath,bed,bedroom,10,10,10,97,true,40.70894067243747,9,-73.94554422557232,1,1,4,,113,1,150,5,,8763502,,Entire home/apt,10
10,bath,bed,bedroom,10,10,10,97,false,40.73946566779714,10,-74.03184604821129,1,1,4,74,53,1,130,5,,4915391,,Entire home/apt,10
9,bath,beds,bedroom,10,9,10,90,false,40.75994919765287,10,-73.99436941251308,1,2,4,46,46,1,125,4.5,,15719302,,Entire home/apt,9
10,bath,beds,bedroom,10,10,9,93,false,40.80368606890977,9,-73.94856865590285,1,2,4,157,46,1,119,4.5,,19387402,,Entire home/apt,10
10,bath,bed,bedroom,10,9,10,96,false,40.72593181975194,10,-73.99934292662371,1,1,2,,98,1,100,5,,959788,,Private room,9
10,baths,beds,bedrooms,10,10,10,99,true,40.790612389082206,10,-74.01699294030735,2,3,6,35,35,3,94,5,,20241681,,Entire home/apt,10
10,bath,bed,Studio,10,9,10,92,false,40.77058112980809,9,-73.95358395102251,1,1,2,,28,0,80,4.5,,17093180,,Entire home/apt,9
10,bath,beds,bedrooms,10,10,10,96,true,40.7748200376828,10,-73.95087470997231,1,3,4,95,79,2,80,5,,15281457,,Entire home/apt,10
10,shared bath,bed,bedroom,10,10,10,96,false,40.71836395939064,10,-73.99245934170187,1,1,2,5,5,1,65,5,,22356799,,Private room,10
9,shared bath,bed,bedroom,9,8,10,86,false,40.766383517296696,10,-73.98740876767265,1,1,2,,21,1,50,4.5,,4415695,,Private room,8
10,bath,bed,bedroom,10,9,10,95,false,40.739100910695875,10,-74.03389819683935,1,1,1,,70,1,40,5,,13480782,,Private room,9
,shared bath,bed,bedroom,,,,,true,40.76288139681047,,-73.98539258206625,1,1,1,16,,1,32,,,23058410,,Private room,
,baths,beds,bedrooms,,,,,false,40.74016290061482,,-74.03582083584321,2,2,4,,,2,1500,,,2248865,,Entire home/apt,
