accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,bath,beds,bedroom,10,10,10,96,true,40.75597646407109,10,-73.97034343590278,1,2,4,22,20,1,160,5,,17269656,,Entire home/apt,10
,bath,beds,bedrooms,,,,,false,40.74002667991872,,-73.98164756470031,1,3,6,,,2,150,,,22224364,,Entire home/apt,
10,bath,beds,bedroom,9,10,10,92,false,40.711712456075304,10,-73.95704469053582,1,2,4,,37,1,139,4.5,,9516142,,Entire home/apt,10
,bath,beds,bedrooms,,,,,true,40.782797915759,,-74.01124152189237,1,4,6,,,2,130,,,7789763,,Entire home/apt,
9,bath,bed,Studio,10,9,10,93,false,40.71328413240732,10,-73.9633015850253,1,1,2,12,3,0,120,4.5,,21108399,,Entire home/apt,9
10,private bath,beds,bedroom,10,9,10,97,false,40.7141805428446,9,-73.99238294888353,1,2,3,91,40,1,105,5,,19289198,,Private room,9
9,bath,beds,Studio,10,9,9,88,false,40.7619186622639,10,-73.98817259339225,1,2,3,,84,0,100,4.5,,12622115,,Entire home/apt,9
10,shared bath,bed,bedroom,10,10,10,96,false,40.800925247384896,10,-73.96486429572666,1,1,2,,11,1,82,5,,21646447,,Private room,10
10,shared bath,bed,bedroom,10,9,10,95,false,40.78074026288285,10,-73.97848651529088,1,1,1,88,54,1,75,5,,15033685,,Private room,9
10,bath,bed,bedroom,10,10,10,96,true,40.74668800684575,10,-73.94782319923725,1,1,3,137,125,1,70,5,,13155610,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.79346367329558,,-73.96807973332224,1,1,1,,,1,60,,,21186943,,Shared room,
10,shared bath,beds,bedroom,10,9,10,92,false,40.70956275483354,9,-73.96293815861948,1,2,3,,55,1,48,4.5,,17863262,,Private room,9
10,shared bath,beds,bedroom,10,10,10,96,true,40.794704022490315,9,-73.93783970124286,1,2,3,165,162,1,34,5,,1866128,,Private room,10
9,shared baths,bed,bedroom,9,9,9,86,false,40.70532318256033,9,-73.94454689427779,4,1,2,195,53,1,30,4.5,,15263081,,Private room,9
9,shared bath,bed,bedroom,10,9,10,91,false,40.8084612558821,9,-73.9495073334271,1,1,1,,7,1,35,4.5,,21997819,,Private room,9
9,shared baths,bed,bedroom,8,8,8,78,false,40.70692103673193,8,-73.9432397501886,4,1,2,137,51,1,35,4,,15537139,,Private room,8
,bath,beds,bedroom,,,,,false,40.77251945001564,,-73.95580742264771,1,2,4,,,1,1500,,,2298711,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.751626668011355,,-74.05204756046616,3,4,0,,,4,2500,,,2248383,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.741203900210174,,-74.04408543982893,1,1,4,,,1,2500,,,2227040,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.746153778170765,,-74.03224227372883,2,2,6,1,,2,1250,,,2026423,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.753845476856675,,-74.02503551790403,2,2,2,,,2,1000,,,2291226,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.7508702290483,,-73.98837918409687,1,1,1,11,,1,1500,,,18001363,,Shared room,
10,baths,bed,bedroom,10,10,10,100,false,40.71321426283027,10,-73.99098525561149,2,1,2,,12,1,2000,5,,6833395,,Entire home/apt,10
,baths,beds,bedrooms,,,,,false,40.77088076325137,,-74.02676761082922,2,2,8,,,2,2800,,,2117857,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.726050590284565,,-74.00572364001708,3.5,7,0,26,,5,2250,,,22263855,,Entire home/apt,
,baths,beds,bedroom,,,,,false,40.76115998704385,,-73.98852351939126,1.5,2,4,,,1,1538,,,4009583,,Entire home/apt,
